"xref_id","nsider_id","nsider_staff_id","display_order","contributor"
"1","2","6","0","N"
"2","4","7","0","N"
"3","5","7","0","N"
"4","6","14","0","N"
"5","7","7","0","N"
"6","8","3","0","N"
"7","9","5","0","N"
"8","10","15","0","N"
"9","11","15","0","N"
"10","12","1","0","N"
"11","12","3","0","N"
"12","13","9","0","N"
"13","14","3","0","N"
"14","14","5","0","N"
"15","15","7","0","N"
"16","16","5","0","N"
"17","17","5","0","N"
"18","18","5","0","N"
"19","19","7","0","N"
"20","20","7","0","N"
"21","21","7","0","N"
"22","22","5","0","N"
"23","23","5","0","N"
"24","24","12","0","N"
"25","25","26","0","N"
"26","26","26","0","N"
"27","28","10","0","N"
"28","29","46","1","N"
"29","30","5","0","N"
"30","31","1","0","N"
"31","32","4","0","N"
"32","33","5","0","N"
"33","35","7","0","N"
"34","35","27","0","N"
"35","36","5","0","N"
"36","38","1","0","N"
"37","39","1","0","N"
"38","40","1","0","N"
"39","42","23","0","N"
"40","43","7","0","N"
"41","44","2","0","N"
"42","45","5","0","N"
"43","48","3","0","N"
"44","49","4","0","N"
"45","50","1","0","N"
"46","50","4","0","N"
"47","52","7","0","N"
"48","54","7","0","N"
"49","55","7","0","N"
"50","56","18","0","N"
"51","57","5","0","N"
"52","58","12","0","N"
"53","59","1","0","N"
"54","59","3","0","N"
"55","59","13","0","N"
"56","62","1","0","N"
"57","63","7","0","N"
"58","65","1","0","N"
"59","66","1","0","N"
"60","68","9","0","N"
"61","70","1","0","N"
"62","70","3","0","N"
"63","72","14","0","N"
"64","73","1","0","N"
"65","74","1","0","N"
"66","75","1","0","N"
"67","76","4","0","N"
"68","77","1","0","N"
"69","78","1","0","N"
"70","79","5","0","N"
"71","80","1","0","N"
"72","80","27","0","N"
"73","81","3","0","N"
"74","81","13","0","N"
"75","82","7","0","N"
"76","83","14","0","N"
"77","85","7","0","N"
"78","86","1","0","N"
"79","87","7","0","N"
"80","88","13","0","N"
"81","89","1","0","N"
"82","89","3","0","N"
"83","89","7","0","N"
"84","90","7","0","N"
"85","91","2","0","N"
"86","91","8","0","N"
"87","92","1","0","N"
"88","93","1","0","N"
"89","94","13","0","N"
"90","97","7","0","N"
"91","98","1","0","N"
"92","99","7","0","N"
"93","100","7","0","N"
"94","101","7","0","N"
"95","102","7","0","N"
"96","103","7","0","N"
"97","106","7","0","N"
"98","107","7","0","N"
"99","108","1","0","N"
"100","108","7","0","N"
"101","112","4","0","N"
"102","113","1","0","N"
"103","113","2","0","N"
"104","113","13","0","N"
"105","113","14","0","N"
"106","114","1","0","N"
"107","115","10","0","N"
"108","115","14","0","N"
"109","117","4","0","N"
"110","118","7","0","N"
"111","119","1","0","N"
"112","119","14","0","N"
"113","120","1","0","N"
"114","121","2","0","N"
"115","122","7","0","N"
"116","123","1","0","N"
"117","123","7","0","N"
"118","125","7","0","N"
"119","126","1","0","N"
"120","126","8","0","N"
"121","126","27","0","N"
"122","128","9","0","N"
"123","129","1","0","N"
"124","129","8","0","N"
"125","129","13","0","N"
"126","130","13","0","N"
"127","131","4","0","N"
